number_volume,number_issue,number_article,type,link
20,2,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1390144
20,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402121
20,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1354390
20,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1397723
20,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1442928
20,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1358391
20,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402120
20,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402119
