number_volume,number_issue,number_article,type,link
19,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1302578
19,2,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268706
19,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268700
19,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268702
19,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268701
19,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268703
