number_volume,number_issue,number_article,type,link
22,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1771861
22,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1690159
22,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1616796
22,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1719178
22,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1663895
22,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1694163
