number_volume,number_issue,number_article,type,link
18,5,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1197408
18,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1139158
18,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207794
18,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1228991
18,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207793
18,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226375
18,5,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235219
18,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1211720
