number_volume,number_issue,number_article,type,link
1,2,1,introduction,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749929
1,2,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749930
1,2,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749931
1,2,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749932
1,2,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749933
1,2,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749935
