number_volume,number_issue,number_article,type,link
17,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1135539
17,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1088959
17,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1103887
17,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1120879
17,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124902
17,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1118519
17,5,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1087583
