number_volume,number_issue,number_article,type,link
3,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046923
3,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046932
3,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046941
3,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046950
3,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120046969
3,1,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120046978
