number_volume,number_issue,number_article,type,link
16,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.940687
16,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.915418
16,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.865064
16,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.862287
16,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.817597
16,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880497
16,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.862286
16,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749414
16,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880499
