number_volume,number_issue,number_article,type,link
13,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607919
13,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580856
13,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.597869
13,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.550631
13,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580857
13,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580855
13,4,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.572482
