number_volume,number_issue,number_article,type,link
22,5,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1694164
22,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1793213
22,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1823008
22,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1793211
22,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1719180
22,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1822536
