number_volume,number_issue,number_article,type,link
4,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130973
4,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130982
4,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220130991
4,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220131008
4,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690220131017
4,1,6,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690220131026
