number_volume,number_issue,number_article,type,link
13,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568248
13,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568259
13,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568254
13,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568263
13,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568265
13,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568261
13,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568257
