number_volume,number_issue,number_article,type,link
3,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112190
3,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112208
3,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112217
3,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112226
3,4,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690120112235
3,4,6,book review,https://www.tandfonline.com/doi/abs/10.1080/14616690120112244
