number_volume,number_issue,number_article,type,link
22,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1706886
22,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1511819
22,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1547837
22,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1552981
22,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1660394
22,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1547838
22,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1616795
22,1,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1610786
22,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1678049
22,1,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1678050
