number_volume,number_issue,number_article,type,link
1,1,1,introduction,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749922
1,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749923
1,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749924
1,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749925
1,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749926
1,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749927
1,1,7,book review,https://www.tandfonline.com/doi/abs/10.1080/14616696.1999.10749928
