number_volume,number_issue,number_article,type,link
20,4,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1448106
20,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402124
20,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402122
20,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1397724
20,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1405059
20,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1437200
20,4,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1454972
20,4,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1455885
20,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1478113
