number_volume,number_issue,number_article,type,link
11,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690903197742
11,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802592589
11,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802531926
11,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802624168
11,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802317862
11,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802531090
11,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802592597
11,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690902785695
