number_volume,number_issue,number_article,type,link
20,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1474325
20,3,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371469
20,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371320
20,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371318
20,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371315
20,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371314
20,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371319
20,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371317
20,3,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371316
