number_volume,number_issue,number_article,type,link
19,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1393992
19,5,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334952
19,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334948
19,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334946
19,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334945
19,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334947
19,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334950
19,5,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334951
