number_volume,number_issue,number_article,type,link
6,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176288
6,1,2,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176297
6,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176305
6,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176314
6,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176323
6,1,6,Article,https://www.tandfonline.com/doi/abs/10.1080/1461669032000176332
