number_volume,number_issue,number_article,type,link
23,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2021.1917035
23,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1765406
23,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818112
23,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1832238
23,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2021.1894587
23,2,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2021.1908573
