number_volume,number_issue,number_article,type,link
9,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701217734
9,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002632
9,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217767
9,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217809
9,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002574
9,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701217858
9,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002749
9,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690601002665
9,2,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616690601002756
