number_volume,number_issue,number_article,type,link
23,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1869284
23,1,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1869283
23,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1793215
23,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1804973
23,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1807040
23,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1808692
23,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1809690
23,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1817522
23,1,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818113
23,1,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818270
23,1,11,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1818271
23,1,12,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821075
23,1,13,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821076
23,1,14,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1821077
23,1,15,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1822537
23,1,16,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1822538
23,1,17,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1823010
23,1,18,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1823450
23,1,19,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1824003
23,1,20,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1824004
23,1,21,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1825766
23,1,22,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1825767
23,1,23,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826554
23,1,24,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826555
23,1,25,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826556
23,1,26,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1826557
23,1,27,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1827447
23,1,28,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828974
23,1,29,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828975
23,1,30,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828976
23,1,31,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828977
23,1,32,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828978
23,1,33,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1828979
23,1,34,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1830144
23,1,35,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1831038
23,1,36,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1831572
23,1,37,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1832239
23,1,38,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1832700
23,1,39,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833065
23,1,40,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833066
23,1,41,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833067
23,1,42,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833068
23,1,43,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833229
23,1,44,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1833359
23,1,45,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1834597
23,1,46,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836383
23,1,47,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836384
23,1,48,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836385
23,1,49,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836386
23,1,50,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836387
23,1,51,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1836669
23,1,52,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839669
23,1,53,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839670
23,1,54,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1841263
23,1,55,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1841264
23,1,56,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1846065
23,1,57,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1846066
23,1,58,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1852439
23,1,59,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1852440
23,1,60,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1857422
23,1,61,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2020.1839671
