number_volume,number_issue,number_article,type,link
19,1,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1236283
19,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226373
19,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235218
19,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226374
19,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258083
19,1,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235220
19,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258085
