number_volume,number_issue,number_article,type,link
8,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690600644939
8,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600644988
8,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645001
8,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645043
8,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645092
8,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690600645175
8,2,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616690600645324
