number_volume,number_issue,number_article,type,link
19,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1354148
19,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1330488
19,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1318330
19,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1281429
19,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1320566
19,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268705
19,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290267
19,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1228992
