number_volume,number_issue,number_article,type,link
10,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690701722139
10,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/09571260701526964
10,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701523651
10,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701419470
10,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701592573
10,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701348810
10,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690701536323
