number_volume,number_issue,number_article,type,link
15,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.768008
15,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748927
15,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726733
15,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721891
15,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.692806
15,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750732
15,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.692807
