number_volume,number_issue,number_article,type,link
2,4,1,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690020014343
2,4,2,Article,https://www.tandfonline.com/doi/abs/10.1080/713767005
2,4,3,Article,https://www.tandfonline.com/doi/abs/10.1080/713767001
2,4,4,Article,https://www.tandfonline.com/doi/abs/10.1080/713766999
2,4,5,Article,https://www.tandfonline.com/doi/abs/10.1080/713767003
2,4,6,Article,https://www.tandfonline.com/doi/abs/10.1080/14616690020025215
2,4,7,book review,https://www.tandfonline.com/doi/abs/10.1080/713767004X
2,4,8,editorial,https://www.tandfonline.com/doi/abs/10.1080/146166900450756
