number_volume,number_issue,number_article,type,link
21,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1647922
21,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494301
21,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494296
21,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494299
21,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494295
21,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494293
21,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494294
21,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494297
21,4,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494292
