number_volume,number_issue,number_article,type,link
11,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616690802667266
11,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802209697
11,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802209689
11,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801941084
11,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616690801961819
11,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802155353
11,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802248042
11,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616690802054358
