number_volume,number_issue,number_article,type,link
18,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1157950
18,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1134800
18,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1139157
18,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1141304
18,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124903
18,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124904
18,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1134802
