number_volume,number_issue,number_article,type,link
19,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268704
19,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290264
19,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258084
19,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290266
19,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290268
19,3,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235221
19,3,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290269
