number_volume,number_issue,number_article,type,link
17,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1032093
17,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977322
17,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968798
17,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.995772
17,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1007153
17,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1009843
17,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1006133
