number_volume,number_issue,number_article,type,link
18,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1212927
18,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1153698
18,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207791
18,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207792
18,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172716
18,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172718
