number_volume,number_issue,number_article,type,link
2,1,1,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360701
2,1,2,editorial,https://www.tandfonline.com/doi/abs/10.1080/146166900360693
2,1,3,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360710
2,1,4,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360729
2,1,5,Article,https://www.tandfonline.com/doi/abs/10.1080/146166900360738
2,1,6,book review,https://www.tandfonline.com/doi/abs/10.1080/146166900360747
